date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:00	97163/97163	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/vendor/jquery-1.12.4.min.js	localhost_8000/static/assets/js/vendor/jquery-1.12.4.min.js	(from http://localhost:8000/)
12:57:04	8415/8415	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.slicknav.min.js	localhost_8000/static/assets/js/jquery.slicknav.min.js	(from http://localhost:8000/)
12:57:05	48944/48944	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/bootstrap.min.js	localhost_8000/static/assets/js/bootstrap.min.js	(from http://localhost:8000/)
12:57:12	277082/277082	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/about/about-low-back.png	localhost_8000/static/assets/img/about/about-low-back.png	(from http://localhost:8000/)
12:57:13	42766/42766	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/owl.carousel.min.js	localhost_8000/static/assets/js/owl.carousel.min.js	(from http://localhost:8000/)
12:57:13	42863/42863	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/slick.min.js	localhost_8000/static/assets/js/slick.min.js	(from http://localhost:8000/)
12:57:15	8415/8415	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/wow.min.js	localhost_8000/static/assets/js/wow.min.js	(from http://localhost:8000/)
12:57:17	5532/5532	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/animated.headline.js	localhost_8000/static/assets/js/animated.headline.js	(from http://localhost:8000/)
12:57:21	2035/2035	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.scrollUp.min.js	localhost_8000/static/assets/js/jquery.scrollUp.min.js	(from http://localhost:8000/)
12:57:21	20216/20216	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.magnific-popup.js	localhost_8000/static/assets/js/jquery.magnific-popup.js	(from http://localhost:8000/)
12:57:21	2942/2942	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.nice-select.min.js	localhost_8000/static/assets/js/jquery.nice-select.min.js	(from http://localhost:8000/)
12:57:23	10085/10085	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.sticky.js	localhost_8000/static/assets/js/jquery.sticky.js	(from http://localhost:8000/)
12:57:23	1067/1067	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.counterup.min.js	localhost_8000/static/assets/js/jquery.counterup.min.js	(from http://localhost:8000/)
12:57:25	3024/3024	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/contact.js	localhost_8000/static/assets/js/contact.js	(from http://localhost:8000/)
12:57:29	1230/1230	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/mail-script.js	localhost_8000/static/assets/js/mail-script.js	(from http://localhost:8000/)
12:57:33	21068/21068	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.validate.min.js	localhost_8000/static/assets/js/jquery.validate.min.js	(from http://localhost:8000/)
12:57:33	4820/4820	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.ajaxchimp.min.js	localhost_8000/static/assets/js/jquery.ajaxchimp.min.js	(from http://localhost:8000/)
12:57:34	41095/41095	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/jquery.form.js	localhost_8000/static/assets/js/jquery.form.js	(from http://localhost:8000/)
12:57:34	405222/405222	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/about/contact_bg.jpg	localhost_8000/static/assets/img/about/contact_bg.jpg	(from http://localhost:8000/)
12:57:34	760/760	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/plugins.js	localhost_8000/static/assets/js/plugins.js	(from http://localhost:8000/)
12:57:34	6501/6501	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/js/main.js	localhost_8000/static/assets/js/main.js	(from http://localhost:8000/)
12:57:35	1827/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:57:35%20GMT	http://localhost:8000/static/assets/css/owl.video.play.png	localhost_8000/static/assets/css/owl.video.play.30.delayed	(from http://localhost:8000/static/assets/css/owl.carousel.min.css)
12:57:47	54420/54420	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-brands-400.woff2	localhost_8000/static/assets/fonts/fa-brands-400.woff2	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:57:49	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-brands-400.eot	localhost_8000/static/assets/fonts/fa-brands-400.eot	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:57:53	63712/63712	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-brands-400.woff	localhost_8000/static/assets/fonts/fa-brands-400.woff	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:57:55	507478/507478	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-brands-400.svg	localhost_8000/static/assets/fonts/fa-brands-400.svg	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:57:59	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-brands-400.eot?	localhost_8000/static/assets/fonts/fa-brands-400d41d.eot	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:04	12220/12220	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-regular-400.woff2	localhost_8000/static/assets/fonts/fa-regular-400.woff2	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:04	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-regular-400.eot	localhost_8000/static/assets/fonts/fa-regular-400.eot	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:05	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-regular-400.eot?	localhost_8000/static/assets/fonts/fa-regular-400d41d.eot	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:07	14712/14712	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-regular-400.woff	localhost_8000/static/assets/fonts/fa-regular-400.woff	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:09	107199/107199	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-regular-400.svg	localhost_8000/static/assets/fonts/fa-regular-400.svg	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:11	98384/98384	---M--	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-brands-400.ttf	localhost_8000/static/assets/fonts/fa-brands-400.ttf	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:11	30928/30928	---M--	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-regular-400.ttf	localhost_8000/static/assets/fonts/fa-regular-400.ttf	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:23	38784/38784	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-solid-900.woff2	localhost_8000/static/assets/fonts/fa-solid-900.woff2	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:25	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-solid-900.eot	localhost_8000/static/assets/fonts/fa-solid-900.eot	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:26	48704/48704	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-solid-900.woff	localhost_8000/static/assets/fonts/fa-solid-900.woff	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:29	378215/378215	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-solid-900.svg	localhost_8000/static/assets/fonts/fa-solid-900.svg	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:33	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-solid-900.eot?	localhost_8000/static/assets/fonts/fa-solid-900d41d.eot	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:43	56108/56108	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/themify.woff?-fvbane	localhost_8000/static/assets/fonts/themify9f24.woff	(from http://localhost:8000/static/assets/css/themify-icons.css)
12:58:43	101932/101932	---M--	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/fa-solid-900.ttf	localhost_8000/static/assets/fonts/fa-solid-900.ttf	(from http://localhost:8000/static/assets/css/fontawesome-all.min.css)
12:58:43	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/themify.eot?-fvbane	localhost_8000/static/assets/fonts/themify9f24.eot	(from http://localhost:8000/static/assets/css/themify-icons.css)
12:58:45	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/themify.eot?	localhost_8000/static/assets/fonts/themifyd41d.eot	(from http://localhost:8000/static/assets/css/themify-icons.css)
12:58:49	234269/234269	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/themify.svg?-fvbane	localhost_8000/static/assets/fonts/themify9f24.svg	(from http://localhost:8000/static/assets/css/themify-icons.css)
12:58:51	1827/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:58:45%20GMT	http://localhost:8000/static/assets/css/fonts/Flaticon.eot	localhost_8000/static/assets/css/fonts/Flaticon.47.delayed	(from http://localhost:8000/static/assets/css/flaticon.css)
12:58:53	78584/78584	---M--	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/themify.ttf?-fvbane	localhost_8000/static/assets/fonts/themify9f24.ttf	(from http://localhost:8000/static/assets/css/themify-icons.css)
12:58:53	2542/2542	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/Flaticon.eot?	localhost_8000/static/assets/fonts/Flaticond41d.eot	(from http://localhost:8000/static/assets/css/flaticon.css)
12:58:53	1124/1124	---M--	200	added ('OK')	font/woff2	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/Flaticon.woff2	localhost_8000/static/assets/fonts/Flaticon.woff2	(from http://localhost:8000/static/assets/css/flaticon.css)
12:58:55	1560/1560	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/Flaticon.woff	localhost_8000/static/assets/fonts/Flaticon.woff	(from http://localhost:8000/static/assets/css/flaticon.css)
12:58:55	2364/2364	---M--	200	added ('OK')	font/ttf	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/Flaticon.ttf	localhost_8000/static/assets/fonts/Flaticon.ttf	(from http://localhost:8000/static/assets/css/flaticon.css)
12:58:56	10323/10323	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/fonts/Flaticon.svg	localhost_8000/static/assets/fonts/Flaticon.svg	(from http://localhost:8000/static/assets/css/flaticon.css)
12:58:57	1842/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:58:57%20GMT	http://localhost:8000/static/assets/img/slider/slider-img-1.jpg	localhost_8000/static/assets/img/slider/slider-img-1.4d.delayed	(from http://localhost:8000/static/assets/css/style.css)
12:58:58	1854/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:58:58%20GMT	http://localhost:8000/static/assets/img/background-img/bg-img-2.jpg	localhost_8000/static/assets/img/background-img/bg-img-2.4e.delayed	(from http://localhost:8000/static/assets/css/style.css)
12:58:59	1854/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:58:59%20GMT	http://localhost:8000/static/assets/img/background-img/bg-img-3.jpg	localhost_8000/static/assets/img/background-img/bg-img-3.4f.delayed	(from http://localhost:8000/static/assets/css/style.css)
12:59:00	1827/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:59:00%20GMT	http://localhost:8000/static/assets/img/banner/bradcam.png	localhost_8000/static/assets/img/banner/bradcam.50.delayed	(from http://localhost:8000/static/assets/css/style.css)
12:59:01	1830/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:59:01%20GMT	http://localhost:8000/static/assets/img/banner/bradcam2.png	localhost_8000/static/assets/img/banner/bradcam2.51.delayed	(from http://localhost:8000/static/assets/css/style.css)
12:59:02	1830/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:59:02%20GMT	http://localhost:8000/static/assets/img/banner/bradcam3.png	localhost_8000/static/assets/img/banner/bradcam3.52.delayed	(from http://localhost:8000/static/assets/css/style.css)
12:59:03	1661/1661	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/elements/primary-check.png	localhost_8000/static/assets/img/elements/primary-check.png	(from http://localhost:8000/static/assets/css/style.css)
12:59:04	1205/1205	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/elements/success-check.png	localhost_8000/static/assets/img/elements/success-check.png	(from http://localhost:8000/static/assets/css/style.css)
12:59:05	1249/1249	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/elements/disabled-check.png	localhost_8000/static/assets/img/elements/disabled-check.png	(from http://localhost:8000/static/assets/css/style.css)
12:59:06	1284/1284	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/elements/primary-radio.png	localhost_8000/static/assets/img/elements/primary-radio.png	(from http://localhost:8000/static/assets/css/style.css)
12:59:07	1209/1209	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/elements/success-radio.png	localhost_8000/static/assets/img/elements/success-radio.png	(from http://localhost:8000/static/assets/css/style.css)
12:59:08	1173/1173	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/elements/disabled-radio.png	localhost_8000/static/assets/img/elements/disabled-radio.png	(from http://localhost:8000/static/assets/css/style.css)
12:59:09	3238/3238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:59:09%20GMT	http://localhost:8000/about-page/site.webmanifest	localhost_8000/about-page/site.59.delayed	(from http://localhost:8000/about-page/)
12:59:10	3303/3303	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:59:10%20GMT	http://localhost:8000/about-page/{%%20static%20'assets/img/logo.ico	localhost_8000/about-page/{%%20static%20'assets/img/logo.5a.delayed	(from http://localhost:8000/about-page/)
12:59:13	36603/36603	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/hero/h1_hero.jpg	localhost_8000/static/assets/img/hero/h1_hero.jpg	(from http://localhost:8000/about-page/)
12:59:15	23380/23380	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/media/images/pp.width-370.jpg	localhost_8000/media/images/pp.width-370.jpg	(from http://localhost:8000/about-page/)
12:59:17	14904/14904	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/media/images/d0be62cd-7490-4851-9d92-8b21cdc2a56b.width-370.jpg	localhost_8000/media/images/d0be62cd-7490-4851-9d92-8b21cdc2a56b.width-370.jpg	(from http://localhost:8000/about-page/)
12:59:17	3232/3232	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:59:15%20GMT	http://localhost:8000/services/site.webmanifest	localhost_8000/services/site.5e.delayed	(from http://localhost:8000/services/)
12:59:17	3297/3297	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Dec%202024%2009:59:17%20GMT	http://localhost:8000/services/{%%20static%20'assets/img/logo.ico	localhost_8000/services/{%%20static%20'assets/img/logo.5f.delayed	(from http://localhost:8000/services/)
12:59:19	23066/23066	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/hero/services.jpg	localhost_8000/static/assets/img/hero/services.jpg	(from http://localhost:8000/services/)
12:59:23	7451/7451	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/legal/legal_2.jpeg	localhost_8000/static/assets/img/legal/legal_2.jpeg	(from http://localhost:8000/services/)
12:59:23	41423/41423	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2009:36:19%20GMT	http://localhost:8000/static/assets/img/legal/legal_1.jpg	localhost_8000/static/assets/img/legal/legal_1.jpg	(from http://localhost:8000/services/)
